station_id,station_group_id,name_kanji,name_romaji,line_id,lon,lat,name_kana
10580,8877,浦ノ崎,urasaki,560,129.792524,33.335287,うらさき
10581,8878,福島口,fukushimaguchi,560,129.790271,33.338083,ふくしまぐち
10582,8879,今福,imafuku,560,129.771909,33.348357,いまふく
10583,8880,鷹島口,takashimaguchi,560,129.761685,33.353784,たかしまぐち
10584,8881,前浜,maehama,560,129.736192,33.358819,まえはま
10585,8882,調川,tsukinokawa,560,129.727507,33.352223,つきのかわ
10586,8883,松浦,matsuura,560,129.707906,33.344273,まつうら
10587,8884,松浦発電所前,matsuurahatsudenshomae,560,129.68607,33.347361,まつうらはつでんしょまえ
10588,8885,御厨,mikuriya,560,129.662502,33.365947,みくりや
10589,8886,西木場,nishikiba,560,129.638657,33.355798,にしきば
10590,8887,東田平,higashitabira,560,129.623147,33.357706,ひがしたびら
10591,8888,中田平,nakatataira,560,129.61104,33.355647,なかたたいら
10592,8889,たびら平戸口,hiratoguchi,560,129.582595,33.362532,ひらとぐち
10593,8890,西田平,nishitabira,560,129.590475,33.34514,にしたびら
10594,8891,すえたちばな,suetachibana,560,129.613788,33.316738,すえたちばな
10595,8892,江迎鹿町,emukaeshikamachi,560,129.627081,33.306809,えむかえしかまち
10596,8893,高岩,takaiwa,560,129.63723,33.297507,たかいわ
10597,8894,いのつき,inotsuki,560,129.667286,33.282623,いのつき
10598,8895,潜竜ヶ滝,senryuutaki,560,129.683509,33.280808,せんりゅうたき
10599,8896,吉井,yoshii,560,129.685271,33.266395,よしい
10600,8897,神田,kanda交通（koutsuu）局（kyoku）前（mae）,560,129.671059,33.261198,かんだ交通（こうつう）局（きょく）前（まえ）
10601,8898,清峰高校前,kiyominekoukoumae,560,129.656536,33.247775,きよみねこうこうまえ
10602,8899,佐々,saza,560,129.646859,33.236701,さざ
10603,8900,小浦,koura,560,129.641643,33.222005,こうら
10604,8901,真申,shinsaru,560,129.65146,33.206498,しんさる
10605,8902,棚方,tanagata,560,129.651796,33.201565,たながた
10606,8903,相浦,aiura,560,129.65714,33.192577,あいうら
10607,8904,大学,daigaku,560,129.667187,33.189461,だいがく
10608,8905,上相浦,kamiainoura,560,129.670453,33.195205,かみあいのうら
10609,8906,本山,honzan,560,129.682099,33.207029,ほんざん
10610,8907,中里,nakazato,560,129.687448,33.20821,なかざと
10611,8908,皆瀬,minase,560,129.701741,33.213348,みなせ
10612,8909,野中,nonaka,560,129.708527,33.211712,のなか
10613,8910,左石,hidariishi,560,129.721992,33.208896,ひだりいし
10614,8911,泉福寺,senfukutera,560,129.727028,33.205816,せんふくてら
10615,8912,山の田,yamata,560,129.722898,33.196575,やまた
10616,8913,北佐世保,kitasasebo,560,129.720446,33.18717,きたさせぼ
10617,8914,中佐世保,chuusaseho,560,129.722668,33.172297,ちゅうさせほ
10618,8915,佐世保中央,sasebochuuou,560,129.720596,33.170902,させぼちゅうおう
10619,4380,佐世保,sasebo,560,129.725667,33.163868,させぼ
10620,4117,諫早,isahaya,561,130.041596,32.851018,いさはや
10621,8916,本諫早,hon'isahaya,561,130.052848,32.841841,ほんいさはや
10622,8917,幸,kou,561,130.066927,32.83705,こう
10623,8918,小野,ono,561,130.08557,32.833985,おの
10624,8919,干拓の里,kantakusato,561,130.093272,32.836138,かんたくさと
